title,creators,year_or_source,source_queries_matched,permalink
Zero-consistency root emulation for unprivileged container image build,"Priedhorsky, Reid ; Jennings, Michael ; Phinney, Megan","SC24-W: Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis, 2024, p.126-136",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_ieee_primary_10820721
Access Security Policy Generation for Containers as a Cloud Service,"Zhu, Hui ; Gehrmann, Christian ; Roth, Paula","SN computer science, 2023-11, Vol.4 (6), p.748, Article 748",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_crossref_citationtrail_10_1007_s42979_023_02186_1
Simulation-based Testing of Unmanned Aerial Vehicles with Aerialist,"Khatiri, Sajad ; Panichella, Sebastiano ; Tonella, Paolo","Proceedings (IEEE/ACM International Conference on Software Engineering Companion. Online), 2024, p.134-138",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_ieee_primary_10554828
RediI: Test Infrastructure to Enable Deterministic Reproduction of Failures for Distributed Systems,"Feng, Yang ; Lin, Zheyuan ; Zhao, Dongchen ; Zhou, Mengbo ; Liu, Jia ; Jones, James A.","Proceedings / International Conference on Software Engineering, 2025, p.191-203",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_ieee_primary_11029968
GoBench: a benchmark suite of real-world go concurrency bugs,"Yuan, Ting ; Li, Guangwei ; Lu, Jie ; Liu, Chen ; Li, Lian ; Xue, Jingling","2021 IEEE/ACM International Symposium on Code Generation and Optimization (CGO), 2021, p.187-199",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1109_CGO51591_2021_9370317_brief
Fixing Outside the Box: Uncovering Tactics for Open-Source Security Issue Management,"Zhang, Lyuye ; Wu, Jiahui ; Liu, Chengwei ; Li, Kaixuan ; Sun, Xiaoyu ; Zhao, Lida ; Wang, Chong ; Liu, Yang","Proceedings of the ACM on software engineering, 2025-06, Vol.2 (ISSTA), p.2273-2295, Article ISSTA100",SQ1,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_crossref_primary_10_1145_3728977
CXXCrafter: An LLM-Based Agent for Automated C/C++ Open Source Software Building,"Yu, Zhengmin ; Zhang, Yuan ; Wen, Ming ; Nie, Yinan ; Zhang, Wenhui ; Yang, Min","Proceedings of the ACM on software engineering, 2025-06, Vol.2 (FSE), p.2618-2640, Article FSE116",SQ1;SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_crossref_primary_10_1145_3729386
A conceptual replication of continuous integration pain points in the context of Travis CI,"Widder, David Gray ; Hilton, Michael ; Kästner, Christian ; Vasilescu, Bogdan","Proceedings of the 2019 27th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering, 2019, p.647-658",SQ1;SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3338906_3338922
Designing Quality MPI Correctness Benchmarks: Insights and Metrics,"Jammer, Tim ; Schwitanski, Simon ; Saillard, Emmanuelle ; Huck, Alexander ; Jenke, Joachim ; Vinayagame, Radjasouria ; Bischof, Christian","SC24-W: Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis, 2024, p.222-226",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_ieee_primary_10820622
How do Developers Talk about GitHub Actions? Evidence from Online Software Development Community,"Zhang, Yang ; Wu, Yiwen ; Chen, Tingting ; Wang, Tao ; Liu, Hui ; Wang, Huaimin","Proceedings / International Conference on Software Engineering, 2024, p.1-13",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3597503_3623327
From Code to Execution: Multi-Agent GraphRAG for Automated Artifact Generation,"Layegh, Amirhossein ; Payberah, Amir H. ; Matskin, Mihhail","Proceedings of the Sixth European Workshop on Machine Learning and Systems, 2026, p.147-154",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3805621_3807637
On the Reproducibility of Software Defect Datasets,"Zhu, Hao-Nan ; Rubio-González, Cindy","Proceedings / International Conference on Software Engineering, 2023, p.2324-2335",SQ1;SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1109_ICSE48619_2023_00195_brief
One size does not fit all: an empirical study of containerized continuous deployment workflows,"Zhang, Yang ; Vasilescu, Bogdan ; Wang, Huaimin ; Filkov, Vladimir","Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering, 2018, p.295-306",SQ1;SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3236024_3236033_brief
Semantics-aware scheduling policies for synchronization determinism,"Zhao, Qi ; Qiu, Zhengyi ; Jin, Guoliang","Proceedings of the 24th Symposium on Principles and Practice of Parallel Programming, 2019, p.242-256",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3293883_3295731
Automatic Failure Recovery for Container-Based IoT Edge Applications,"Olorunnife, Kolade ; Lee, Kevin ; Kua, Jonathan","Electronics (Basel), 2021-12, Vol.10 (23), p.3047",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_proquest_journals_2608082919
"Widening The Adoption of Web API Fuzzing: Docker, GitHub Action and Python Support for EvoMaster","Arcuri, Andrea ; Garrett, Philip ; Galeotti, Juan Pablo ; Zhang, Man","Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering, 2025, p.1084-1088",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3696630_3728586
Understanding Self-Admitted Technical Debt in Test Code: An Empirical Study,"Nakamura, Ibuki ; Kashiwa, Yutaro ; Lin, Bin ; Iida, Hajimu","ACM transactions on software engineering and methodology, 2026-01",SQ1;SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_crossref_primary_10_1145_3786791
